init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/cutpolicy @5.9 ms, 0.001 ms clock, 256 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/ledgers @5.9 ms, 0.012 ms clock, 1448 bytes, 12 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/contextpolicy @6.0 ms, 0.025 ms clock, 13704 bytes, 124 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/specidentifiers @6.0 ms, 0.17 ms clock, 75544 bytes, 646 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/symbolgraph @6.2 ms, 0.22 ms clock, 129984 bytes, 1020 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/leafbriefing @6.4 ms, 0.011 ms clock, 9016 bytes, 80 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/tamperchecks @6.4 ms, 0.25 ms clock, 80584 bytes, 591 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/testmemo @6.7 ms, 0.042 ms clock, 21608 bytes, 214 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/tia @6.8 ms, 0.019 ms clock, 7424 bytes, 73 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/validity @6.8 ms, 0.020 ms clock, 6192 bytes, 53 allocs
init github.com/alecthomas/chroma/v2 @6.8 ms, 0.064 ms clock, 16992 bytes, 30 allocs
init github.com/alecthomas/chroma/v2/lexers @6.9 ms, 8.5 ms clock, 2737344 bytes, 31451 allocs
init github.com/antchfx/xpath @15 ms, 0 ms clock, 112 bytes, 2 allocs
init github.com/dustin/go-humanize @15 ms, 0.030 ms clock, 9208 bytes, 119 allocs
init github.com/joho/godotenv @15 ms, 0.010 ms clock, 7880 bytes, 70 allocs
init github.com/mattn/go-runewidth @15 ms, 0.048 ms clock, 47784 bytes, 49 allocs
init github.com/spyzhov/ajson @15 ms, 0.039 ms clock, 9160 bytes, 87 allocs
init gopkg.in/yaml%2ev3 @15 ms, 0.071 ms clock, 25736 bytes, 276 allocs
init github.com/Agent-Field/aforge-v2/internal/craft @15 ms, 0.064 ms clock, 29848 bytes, 228 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/baked @15 ms, 12 ms clock, 4017920 bytes, 45839 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/fullverification @28 ms, 0.26 ms clock, 199848 bytes, 1259 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/agentjson @28 ms, 0.001 ms clock, 112 bytes, 1 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/auditorgate @28 ms, 0.17 ms clock, 128224 bytes, 733 allocs
init testing @28 ms, 0.006 ms clock, 984 bytes, 4 allocs
init text/template/parse @28 ms, 0.005 ms clock, 504 bytes, 4 allocs
init vendor/golang.org/x/crypto/cryptobyte @28 ms, 0.001 ms clock, 48 bytes, 2 allocs
init crypto/hpke @28 ms, 0.011 ms clock, 0 bytes, 0 allocs
init vendor/golang.org/x/net/dns/dnsmessage @28 ms, 0.008 ms clock, 768 bytes, 6 allocs
init vendor/golang.org/x/net/http2/hpack @28 ms, 0.023 ms clock, 7344 bytes, 8 allocs
init vendor/golang.org/x/text/secure/bidirule @28 ms, 0.011 ms clock, 0 bytes, 0 allocs
init vendor/golang.org/x/text/unicode/norm @28 ms, 0 ms clock, 0 bytes, 0 allocs
init vendor/golang.org/x/net/idna @28 ms, 0 ms clock, 0 bytes, 0 allocs
init crypto/ecdsa @28 ms, 0.005 ms clock, 32 bytes, 2 allocs
init net/netip @28 ms, 0.059 ms clock, 744 bytes, 18 allocs
init net @28 ms, 0.031 ms clock, 1768 bytes, 23 allocs
init github.com/google/uuid @28 ms, 0.003 ms clock, 0 bytes, 0 allocs
init modernc.org/libc @28 ms, 0.15 ms clock, 6216 bytes, 18 allocs
init modernc.org/sqlite/lib @29 ms, 0.62 ms clock, 15072 bytes, 19 allocs
init mime/multipart @29 ms, 0.004 ms clock, 240 bytes, 3 allocs
init net/mail @29 ms, 0.015 ms clock, 88 bytes, 2 allocs
init crypto/x509 @29 ms, 0.048 ms clock, 64 bytes, 2 allocs
init crypto/tls @29 ms, 0.031 ms clock, 2312 bytes, 13 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/config @29 ms, 0.70 ms clock, 23208 bytes, 181 allocs
init github.com/amp-labs/amp-common/envutil @30 ms, 0.001 ms clock, 80 bytes, 5 allocs
init github.com/charmbracelet/x/ansi @30 ms, 0.007 ms clock, 552 bytes, 5 allocs
init github.com/Agent-Field/aforge-v2/internal/tui2/blocks @30 ms, 0.017 ms clock, 1536 bytes, 3 allocs
init github.com/Agent-Field/aforge-v2/internal/tui2/tokens @30 ms, 0.34 ms clock, 10000 bytes, 543 allocs
init github.com/Agent-Field/aforge-v2/internal/tui2/placeline @31 ms, 0.004 ms clock, 0 bytes, 0 allocs
init github.com/Agent-Field/aforge-v2/internal/tui2/rail @31 ms, 0.017 ms clock, 0 bytes, 0 allocs
init github.com/charmbracelet/colorprofile @31 ms, 0.020 ms clock, 288 bytes, 4 allocs
init github.com/charmbracelet/ultraviolet @31 ms, 0.033 ms clock, 26952 bytes, 16 allocs
init charm.land/lipgloss/v2 @31 ms, 0.034 ms clock, 8304 bytes, 75 allocs
init github.com/Agent-Field/aforge-v2/internal/tui2/composer @31 ms, 0.002 ms clock, 0 bytes, 0 allocs
init github.com/Agent-Field/aforge-v2/internal/tui2/homes @31 ms, 0.003 ms clock, 0 bytes, 0 allocs
init github.com/go-playground/validator @31 ms, 1.3 ms clock, 771136 bytes, 6488 allocs
init github.com/google/jsonschema-go/jsonschema @32 ms, 0.17 ms clock, 81256 bytes, 296 allocs
init github.com/santhosh-tekuri/jsonschema/v5 @32 ms, 1.8 ms clock, 1026656 bytes, 8964 allocs
init github.com/Agent-Field/agentfield/sdk/go/harness @34 ms, 0.019 ms clock, 17328 bytes, 130 allocs
init github.com/yuin/goldmark/util @34 ms, 0.10 ms clock, 139464 bytes, 437 allocs
init github.com/yuin/goldmark/ast @34 ms, 0.004 ms clock, 992 bytes, 5 allocs
init github.com/yuin/goldmark/extension/ast @34 ms, 0.006 ms clock, 1152 bytes, 1 allocs
init github.com/yuin/goldmark/parser @34 ms, 0.19 ms clock, 110336 bytes, 935 allocs
init github.com/yuin/goldmark/renderer/html @34 ms, 0.036 ms clock, 17680 bytes, 99 allocs
init github.com/yuin/goldmark @34 ms, 0.016 ms clock, 15072 bytes, 25 allocs
init github.com/yuin/goldmark/extension @34 ms, 1.4 ms clock, 264240 bytes, 2049 allocs
init github.com/Agent-Field/aforge-v2/internal/tui2/prose @36 ms, 0.054 ms clock, 28616 bytes, 88 allocs
init modernc.org/sqlite @36 ms, 0.002 ms clock, 912 bytes, 9 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/projectors @36 ms, 0.002 ms clock, 256 bytes, 2 allocs
init text/template @36 ms, 0.014 ms clock, 72 bytes, 2 allocs
init github.com/muesli/termenv @36 ms, 0.008 ms clock, 776 bytes, 7 allocs
init github.com/charmbracelet/lipgloss @36 ms, 0 ms clock, 0 bytes, 0 allocs
init github.com/charmbracelet/bubbletea @36 ms, 0.11 ms clock, 93848 bytes, 213 allocs
init vendor/golang.org/x/net/http/httpguts @36 ms, 0.002 ms clock, 984 bytes, 4 allocs
init vendor/golang.org/x/net/http/httpproxy @36 ms, 0 ms clock, 336 bytes, 2 allocs
init net/http @36 ms, 0.033 ms clock, 4712 bytes, 49 allocs
init github.com/Agent-Field/aforge-v2/internal/rtk @36 ms, 0.003 ms clock, 1880 bytes, 11 allocs
init github.com/Agent-Field/aforge-v2/internal/search @36 ms, 0.029 ms clock, 23536 bytes, 163 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/afield @36 ms, 0.004 ms clock, 1744 bytes, 8 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/attribution @36 ms, 0 ms clock, 256 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/engine/retrysched @36 ms, 0.11 ms clock, 110040 bytes, 540 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/router/orfetch @36 ms, 0 ms clock, 336 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/engine/orclient @36 ms, 0.005 ms clock, 1832 bytes, 8 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/leafmerger @36 ms, 0 ms clock, 336 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/mergerecovery @36 ms, 0.001 ms clock, 336 bytes, 2 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/engine/steploop @36 ms, 0.028 ms clock, 12952 bytes, 108 allocs
init github.com/Agent-Field/aforge-v2/internal/swepro/internal/session/compaction @36 ms, 0.007 ms clock, 5512 bytes, 64 allocs
